price_id,commodity,price_date,price_usd,unit,volume,open_usd,high_usd,low_usd,close_usd,source
P001,Ni,2024-01-15,16850.00,USD/t,12500,16700.00,16950.00,16600.00,16850.00,LME
P002,Ni,2024-01-16,17100.00,USD/t,13200,16850.00,17200.00,16800.00,17100.00,LME
P003,Ni,2024-01-17,16950.00,USD/t,11800,17100.00,17150.00,16850.00,16950.00,LME
P004,Co,2024-01-15,33500.00,USD/t,3200,33200.00,33800.00,33000.00,33500.00,LME
P005,Co,2024-01-16,34200.00,USD/t,3500,33500.00,34500.00,33300.00,34200.00,LME
P006,Co,2024-01-17,33800.00,USD/t,3100,34200.00,34400.00,33600.00,33800.00,LME
P007,Li,2024-01-15,125000.00,USD/t,1800,124000.00,127000.00,123500.00,125000.00,LME
P008,Li,2024-01-16,128500.00,USD/t,1900,125000.00,129000.00,124000.00,128500.00,LME
P009,Li,2024-01-17,127000.00,USD/t,1750,128500.00,129500.00,126500.00,127000.00,LME
P010,MHP,2024-01-15,38500.00,USD/t,2200,38200.00,38800.00,38000.00,38500.00,PLATTS
P011,MHP,2024-01-16,39200.00,USD/t,2400,38500.00,39500.00,38300.00,39200.00,PLATTS
P012,MHP,2024-01-17,38900.00,USD/t,2100,39200.00,39400.00,38700.00,38900.00,PLATTS
P013,Cu,2024-01-15,8620.00,USD/t,18500,8580.00,8690.00,8550.00,8620.00,LME
P014,Cu,2024-01-16,8710.00,USD/t,19200,8620.00,8750.00,8600.00,8710.00,LME
P015,Cu,2024-01-17,8650.00,USD/t,17800,8710.00,8780.00,8620.00,8650.00,LME
P016,Fe,2024-01-15,132.50,USD/t,45000,131.80,133.20,131.00,132.50,SGX
P017,Fe,2024-01-16,134.20,USD/t,46500,132.50,135.00,131.80,134.20,SGX
P018,Fe,2024-01-17,133.80,USD/t,44800,134.20,135.10,133.00,133.80,SGX
